"kategori","urun_adi","aciklama","fiyat"
"Sıcak yiyecekler","Simit","","20"
"Sıcak yiyecekler","Açma","Sade","25"
"Sıcak yiyecekler","Açma","Kaşarlı, Çikolatalı","30"
"Sıcak yiyecekler","Poğaça","Kaşarlı, Peynirli","20"
"Sıcak yiyecekler","Karaköy","Dereotlu, Kaşarlı, Patatesli, Peynirli, Maydanozlu","20"
"Sıcak yiyecekler","Gözleme","Ispanak, Kabak, Patates","80"
"Sıcak yiyecekler","Gözleme","Kaşarlı, Patatesli kaşarlı","100"
"Sıcak yiyecekler","Çerez","","80"
"Sıcak yiyecekler","Yarım çerez","","50"
"Sıcak yiyecekler","Mısır","Haşlanmış, Közlenmiş","60"
"Tatlılar","Trileçe","Dilim","80"
"Tatlılar","Islak kek","Dilim","80"
"Tatlılar","Ekler","Adet","30"
"Tatlılar","Magnolya","","100"
"Tatlılar","Supangle","","100"
"Tatlılar","Malaga","","100"
"Tatlılar","Adet pasta","","100"
"Tatlılar","Soğuk baklava","3 dilim","120"
"Tatlılar","Baklava","3-4 dilim","120"
"Tatlılar","Dondurmalı baklava","2 dilim tatlı yanında 1 top dondurma","150"
"Tatlılar","Kuru pasta","8 adet","120"
"Soğuk içecekler","Küçük su","","20"
"Soğuk içecekler","Büyük su","","40"
"Soğuk içecekler","Şurup","Vişne, Karadut, Pekmez","60"
"Soğuk içecekler","Dondurmalı şurup","","100"
"Soğuk içecekler","Milkshake","","100"
"Soğuk içecekler","Teneke içecekler","Kola, Ice Tea, Meyve Suyu, Kahve","60"
"Soğuk içecekler","Sade soda","","20"
"Soğuk içecekler","Meyveli soda","","25"
"Soğuk içecekler","Gazoz","","20"
"Soğuk içecekler","Meyveli gazoz","","25"
"Soğuk içecekler","Meyve suyu","","20"
"Soğuk içecekler","Bubble tea","","80"
"Soğuk içecekler","Ayran","","20"
"Sıcak içecekler","Çay","","20"
"Sıcak içecekler","Double çay","","30"
"Sıcak içecekler","Küçük demlik","","200"
"Sıcak içecekler","Orta demlik","","250"
"Sıcak içecekler","Büyük demlik","","300"
"Sıcak içecekler","Bitki çayı","","40"
"Kahveler","Soğuk kahve","","100"
"Kahveler","Espresso","","40"
"Kahveler","Double espresso","","60"
"Kahveler","Americano","","100"
"Kahveler","Latte","Caramel-Toffee Nut-Vanilya","100"
"Kahveler","Mocha","","100"
"Kahveler","Cappuccino","","100"
"Kahveler","Affogato","","80"
